year,falsche oder verbotswidrige Fahrbahnbenutzung,ungenügender Sicherheitsabstand,Falsches Verhalten gegenüber Fußgängern,Nichtangepasste Geschwindigkeit,Fehler beim Einfahren in den Fließverkehr,Nichtgewähren der Vorfahrt,Nichtbeachten der Regelung,Falsches Verhalten beim Abbiegen
2003,1265,609,640,338,220,168,147,136
2004,1268,617,702,317,262,171,155,146
2005,1245,695,693,377,240,179,165,152
2006,1227,692,644,360,221,163,150,182
2007,1282,771,639,356,231,207,186,167
2008,1363,911,715,367,254,230,211,183
2009,1243,833,666,372,240,185,176,180
2010,966,782,427,321,186,174,192,142
2011,1108,923,662,345,201,178,179,173
2012,1113,921,619,343,227,192,201,174
2013,940,874,600,359,214,165,194,188
2014,940,1077,618,373,243,182,197,184
2015,881,1104,686,325,224,225,229,187
2016,838,959,681,367,184,208,211,157
2017,730,946,610,312,190,214,187,150
2018,830,1140,714,364,202,205,229,239
